[=] Session log /home/kali/.proxmark3/logs/log_20260105192541.txt
[+] loaded `/home/kali/.proxmark3/preferences.json`
[+] execute command from commandline: trace load -f grand-classic.trace; trace list -1 -t mf

[=] OFFLINE mode. Check "proxmark3 -h" if it's not what you want.

[offline|script] pm3 --> trace load -f grand-classic.trace
[+] Loaded 7849 bytes from binary file `grand-classic.trace`
[+] Recorded Activity (TraceLen = 7849 bytes)
[?] try `trace list -1 -t ...` to view trace.  Remember the `-1` param
[offline|script] pm3 --> trace list -1 -t mf
[+] Recorded activity ( 7849 bytes )
[=] start = start of start frame. end = end of frame. src = source of transfer.
[=] ISO14443A - all times are in carrier periods (1/13.56MHz)

      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
   19750900 |   19771764 | Tag |5A  a4! B0  bd! E1  80! A2  C7  63  56  48! 3F  2A  65! 89! AE  4e! 57   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19820640 |   19825408 | Rdr |fa! 90! 21  5D                                                           |     | 
            |            |  *  |30  0D  E7  73                                                           |  ok | READBLOCK(13)
   19826596 |   19847460 | Tag |a6! e5! 94  e1! fd! 84! C1  99! 2f! C0  70! 56! cb! 90! 85! 46! 9B  BF   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19900464 |   19905168 | Rdr |82  38! E3  6b!                                                          |     | 
            |            |  *  |30  0E  7C  41                                                           |  ok | READBLOCK(14)
   19906420 |   19927220 | Tag |30! 01  EB  96! 2F  A5  C2  69! b3! 8c! 34  AF  ac! 3F  FC  7c! b3! e6!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19986960 |   19991664 | Rdr |cf! a1! C9  A5                                                           |     | 
            |            |  *  |60  10  74  6B                                                           |  ok | AUTH-A(16)
   19993684 |   19998356 | Tag |fd! 93! 44! 33                                                           |     | AUTH: nt (enc)
   20010432 |   20019744 | Rdr |D4  82  9F  15  35! fb! 78  7a!                                          |     | AUTH: nr ar (enc)
   20020996 |   20025668 | Tag |11! bd! 99  ad!                                                          |     | AUTH: at (enc)
   20059872 |   20064576 | Rdr |76  FE  48! 43!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  13  18  8A                                                           |  ok | READBLOCK(19)
   20065828 |   20086692 | Tag |9b! ae! C8  0F  88! 5F  BD  dd! ba! 34! a9! 76  4C  9e! fb! 65! 0f! 60!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   20139312 |   20144080 | Rdr |69  8E  c6! 80                                                           |     | 
            |            |  *  |30  10  83  B8                                                           |  ok | READBLOCK(16)
   20145252 |   20166116 | Tag |B9  41! 69  2c! 24! 6b! be! 85! 6C  3E  95  40! 7a! 06  64  93! 9A  f0!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20210368 |   20215072 | Rdr |80! 91  a1! 39                                                           |     | 
            |            |  *  |30  11  0A  A9                                                           |  ok | READBLOCK(17)
   20216324 |   20237124 | Tag |72  78  dc! 72  B8  40! d0! 06! 03  48! D7  A6  FA  A6  9a! C7  32  DD   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20286720 |   20291488 | Rdr |c9! CB  DC  6B                                                           |     | 
            |            |  *  |30  12  91  9B                                                           |  ok | READBLOCK(18)
   20292676 |   20313476 | Tag |f4! 56! 8D  16  F7  AF  7e! 87! 5F  5c! 79  33  8e! 49  df! 88  2D  1a!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20385408 |   20390112 | Rdr |cd! 6c! 33  5F                                                           |     | 
            |            |  *  |60  14  50  2D                                                           |  ok | AUTH-A(20)
   20392132 |   20396868 | Tag |4a! C1  a7! db!                                                          |     | AUTH: nt (enc)
   20408816 |   20418128 | Rdr |f8! 7c! 81! f3! e1! 62! 98  1E                                           |     | AUTH: nr ar (enc)
   20419364 |   20424100 | Tag |24! 83  87  AB                                                           |     | AUTH: at (enc)
   20467504 |   20472272 | Rdr |f0! be! C1  AD                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  17  3C  CC                                                           |  ok | READBLOCK(23)
   20473460 |   20494260 | Tag |3f! 3f! FB  4b! CD  4B  17  E9  62! 94! 1d! 38! 9B  60  89! 93! CF  4f!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   20571696 |   20576400 | Rdr |0a! 4b! 5A  5F                                                           |     | 
            |            |  *  |30  14  A7  FE                                                           |  ok | READBLOCK(20)
   20577652 |   20598452 | Tag |69  b6! 00! e1! 65  80  53! 49  0F  e0! 34  5D  77! 8D  7A  ab! fd! 42   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20653248 |   20658016 | Rdr |63! c2! e1! A4                                                           |     | 
            |            |  *  |30  15  2E  EF                                                           |  ok | READBLOCK(21)
   20659188 |   20679988 | Tag |9e! b4! 5F  54  71  62! 5c! 03! 3B  27  16  FD  91! 30  DE  d2! 7a! 82   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20732176 |   20736880 | Rdr |9D  ed! a7! 70!                                                          |     | 
            |            |  *  |30  16  B5  DD                                                           |  ok | READBLOCK(22)
   20738132 |   20758996 | Tag |64! D6  59  E4  0c! 8F  A7  05! DF  95! ef! BA  B1  AA  4C  CD  76! 84!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   20858608 |   20863312 | Rdr |34! 7C  BB  DB                                                           |     | 
            |            |  *  |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   20865332 |   20870068 | Tag |c2! 88  51! cc!                                                          |     | AUTH: nt (enc)
   20882032 |   20891344 | Rdr |32  84  19! F6  89  50! ed! e0!                                          |     | AUTH: nr ar (enc)
   20892580 |   20897316 | Tag |6e! 5f! 16  b7!                                                          |     | AUTH: at (enc)
   20931488 |   20936256 | Rdr |5B  0a! 49! 9c!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  1B  50  06                                                           |  ok | READBLOCK(27)
   20937444 |   20958308 | Tag |3D  81! F7  E1  d4! 9d! D5  D8  75! e4! 9C  61  6C  11! 60! 26  61  DC   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   21025648 |   21030352 | Rdr |d7! CF  DD  53                                                           |     | 
            |            |  *  |30  18  CB  34                                                           |  ok | READBLOCK(24)
   21031604 |   21052468 | Tag |57! 56  b6! 82! 9D  ed! 7b! 89! 70! 86  E9  31! b0! 62! 9C  68! 41! 17!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21104816 |   21109584 | Rdr |58! 37  2A  42!                                                          |     | 
            |            |  *  |30  19  42  25                                                           |  ok | READBLOCK(25)
   21110756 |   21131556 | Tag |CA  6C  A4  F7  F9  52  5F  dc! 74! 67  11! 09! 77  14  e8! d7! c4! 4E   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21185360 |   21190064 | Rdr |23! 24  20! C0                                                           |     | 
            |            |  *  |30  1A  D9  17                                                           |  ok | READBLOCK(26)
   21191316 |   21212116 | Tag |D4  aa! 51  e5! DA  6D  3B  1F  7D  A2  F5  94! 0E  1d! 75! ce! C1  05   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21295904 |   21300672 | Rdr |99! 69! 08! 87!                                                          |     | 
            |            |  *  |60  1C  18  A1                                                           |  ok | AUTH-A(28)
   21302628 |   21307300 | Tag |4c! 33! F0  22                                                           |     | AUTH: nt (enc)
   21319264 |   21328576 | Rdr |19! 3D  18! 1e! 83  8f! 8E  64!                                          |     | AUTH: nr ar (enc)
   21329828 |   21334564 | Tag |18! 3c! 96! 21!                                                          |     | AUTH: at (enc)
   21395680 |   21400448 | Rdr |E9  68! E9  A1                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  1F  74  40                                                           |  ok | READBLOCK(31)
   21401636 |   21422436 | Tag |AA  7E  E4  98! 50! e1! 76  44  63! ad! 0b! 77! AC  6d! 6f! 40! E4  97!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   21491232 |   21495936 | Rdr |D2  5E  15  7c!                                                          |     | 
            |            |  *  |30  1C  EF  72                                                           |  ok | READBLOCK(28)
   21497172 |   21517972 | Tag |1C  5B  2d! 11! 49  B1  70  a1! 80  59! 03! 81  12! 57  E1  62  6a! 79!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21569552 |   21574256 | Rdr |91! f9! cf! 92!                                                          |     | 
            |            |  *  |30  1D  66  63                                                           |  ok | READBLOCK(29)
   21575508 |   21596372 | Tag |DC  B9  F5  3c! 5b! 18  e0! 6E  5d! 8e! B7  c6! d7! D7  76! e0! 41! D3   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21655968 |   21660672 | Rdr |DC  DB  E5  89!                                                          |     | 
            |            |  *  |30  1E  FD  51                                                           |  ok | READBLOCK(30)
   21661924 |   21682724 | Tag |a9! 0D  0D  25! 0E  ab! 98! 1E  9a! 65! 05  a4! 80  B5  a1! c2! 0D  1B   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   21758256 |   21763024 | Rdr |DF  89  DD  C1                                                           |     | 
            |            |  *  |60  20  F7  5A                                                           |  ok | AUTH-A(32)
   21764980 |   21769716 | Tag |a7! 02! 38! 5B                                                           |     | AUTH: nt (enc)
   21781776 |   21791152 | Rdr |7B  98  F7  16  f7! 3b! b1! 4b!                                          |     | AUTH: nr ar (enc)
   21792324 |   21797060 | Tag |BD  BB  dd! C1                                                           |     | AUTH: at (enc)
   21841904 |   21846608 | Rdr |0e! 6d! E4  1c!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  23  9B  BB                                                           |  ok | READBLOCK(35)
   21847860 |   21868724 | Tag |76  db! c7! C0  38! 5A  ab! 39! FA  56  49  1c! cb! ad! 85  14  86! 0f!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   21928624 |   21933328 | Rdr |0f! 17! BC  56                                                           |     | 
            |            |  *  |30  20  00  89                                                           |  ok | READBLOCK(32)
   21934580 |   21955444 | Tag |4F  E9  89  C7  c5! 81  fa! 09  9C  AE  CB  45! A4  d5! 1e! 5b! c3! f3!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22008432 |   22013200 | Rdr |E0  b4! 42  7d!                                                          |     | 
            |            |  *  |30  21  89  98                                                           |  ok | READBLOCK(33)
   22014388 |   22035252 | Tag |5e! C2  0B  35  fe! A6  e6! 8C  97  91! 8c! 84  26  D1  24! bb! 0E  3D   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22089312 |   22094080 | Rdr |ca! f7! B6  c3!                                                          |     | 
            |            |  *  |30  22  12  AA                                                           |  ok | READBLOCK(34)
   22095268 |   22116132 | Tag |DD  CC  fc! 55  E6  8b! 73  A7  99! 29  67! 0c! F1  F1  51! 54  C4  13   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22200672 |   22205376 | Rdr |7e! 77! B4  d5!                                                          |     | 
            |            |  *  |60  24  D3  1C                                                           |  ok | AUTH-A(36)
   22207396 |   22212068 | Tag |29! 2a! 29! 95                                                           |     | AUTH: nt (enc)
   22224032 |   22233408 | Rdr |6f! 03  11! 6F  58  7C  B7  09!                                          |     | AUTH: nr ar (enc)
   22234596 |   22239268 | Tag |26  4a! 10  08!                                                          |     | AUTH: at (enc)
   22315616 |   22320320 | Rdr |29  4E  45! D4                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  27  BF  FD                                                           |  ok | READBLOCK(39)
   22321556 |   22342356 | Tag |8b! dd! 3D  4D  d8! 77  4d! 6C  CD  E5  a8! d5! 7B  2F  de! 4E  DC  DE   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   22403488 |   22408256 | Rdr |A4  95! 3b! 63!                                                          |     | 
            |            |  *  |30  24  24  CF                                                           |  ok | READBLOCK(36)
   22409428 |   22430292 | Tag |11! 1B  6a! 25! e6! 02  57  67  4F  c9! 43! 44! D9  43! 6a! f7! 73! 36!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22474240 |   22479008 | Rdr |3C  65  92  d2!                                                          |     | 
            |            |  *  |30  25  AD  DE                                                           |  ok | READBLOCK(37)
   22480180 |   22500980 | Tag |5d! 58! 30  fe! b8! 99! 71! bf! 34  11  52  63! 5D  B7  ec! 00! C2  ED   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22560144 |   22564848 | Rdr |75  d7! 6E  6d!                                                          |     | 
            |            |  *  |30  26  36  EC                                                           |  ok | READBLOCK(38)
   22566100 |   22586900 | Tag |29  57  a9! 69! 67  d9! a4! 0e! 1c! 8C  FD  bd! 05  5E  f7! ea! 27! B1   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22660960 |   22665664 | Rdr |0f! 93! DE  f1!                                                          |     | 
            |            |  *  |60  28  BF  D6                                                           |  ok | AUTH-A(40)
   22667684 |   22672420 | Tag |ee! ab! B4  2C                                                           |     | AUTH: nt (enc)
   22684448 |   22693760 | Rdr |CD  37! 7e! FD  F3  fe! 22  70!                                          |     | AUTH: nr ar (enc)
   22695012 |   22699748 | Tag |0f! F0  34! 94                                                           |     | AUTH: at (enc)
   22731120 |   22735888 | Rdr |9C  65! 22! 99!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  2B  D3  37                                                           |  ok | READBLOCK(43)
   22737060 |   22757860 | Tag |aa! 85! B8  9a! 23  8D  1f! 05! 1c! e6! 1b! 14! f2! B7  4B  4d! 1b! da!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   22818480 |   22823248 | Rdr |C2  A5  5a! 1C                                                           |     | 
            |            |  *  |30  28  48  05                                                           |  ok | READBLOCK(40)
   22824436 |   22845300 | Tag |43  97! 1E  ca! 99! 37! 1e! 07! 0C  2A  0f! 07! 3c! 15! 8a! B8  c7! 46   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22904016 |   22908784 | Rdr |30! DC  17  9f!                                                          |     | 
            |            |  *  |30  29  C1  14                                                           |  ok | READBLOCK(41)
   22909972 |   22930772 | Tag |ad! 42  96! F7  3D  3D  0f! 6B  F5  82! 75! 4e! D1  1C  3B  af! 1a! 42   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   22979584 |   22984352 | Rdr |35! a7! 1b! 8b!                                                          |     | 
            |            |  *  |30  2A  5A  26                                                           |  ok | READBLOCK(42)
   22985540 |   23006404 | Tag |60  ec! b0! AE  75  89! EC  d7! C1  21! 93  9A  62  85! 9c! 3B  FE  bd!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23089456 |   23094160 | Rdr |88! 2b! C3  67!                                                          |     | 
            |            |  *  |60  2C  9B  90                                                           |  ok | AUTH-A(44)
   23096180 |   23100916 | Tag |69! 40  91  a6!                                                          |     | AUTH: nt (enc)
   23112912 |   23122288 | Rdr |33! 7D  f3! 28! ad! fd! d2! 69!                                          |     | AUTH: nr ar (enc)
   23123476 |   23128212 | Tag |fe! 92  F0  82!                                                          |     | AUTH: at (enc)
   23163376 |   23168080 | Rdr |74  49! 84  20!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  2F  F7  71                                                           |  ok | READBLOCK(47)
   23169332 |   23190132 | Tag |c2! 1c! B4  ca! 53  C6  75  10  62  fd! ED  8D  1D  93! 2c! BB  D0  d0!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   23245872 |   23250640 | Rdr |7a! A4  A2  9E                                                           |     | 
            |            |  *  |30  2C  6C  43                                                           |  ok | READBLOCK(44)
   23251828 |   23272628 | Tag |A2  e9! 30  58! EA  c7! 48! d1! A9  ec! 22! 35! 5D  17  72! 83! 0d! dc!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23336304 |   23341008 | Rdr |51  8A  8c! f7!                                                          |     | 
            |            |  *  |30  2D  E5  52                                                           |  ok | READBLOCK(45)
   23342260 |   23363124 | Tag |b7! 39! 53! 0F  32! A2  2f! 6c! 61! 88  A8  A1  ff! 89  8D  4E  AD  57   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23418768 |   23423536 | Rdr |7e! 45! D4  1e!                                                          |     | 
            |            |  *  |30  2E  7E  60                                                           |  ok | READBLOCK(46)
   23424724 |   23445524 | Tag |B5  D1  7C  f3! AD  07  13  f5! a9! 1f! DC  89  0D  15  4F  0D  3e! 7E   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23528272 |   23533040 | Rdr |9b! a4! e4! E6                                                           |     | 
            |            |  *  |60  30  76  4A                                                           |  ok | AUTH-A(48)
   23534996 |   23539732 | Tag |a1! 54! FE  0c!                                                          |     | AUTH: nt (enc)
   23551760 |   23561136 | Rdr |DF  42! db! 65  e3! 13  C9  53!                                          |     | AUTH: nr ar (enc)
   23562324 |   23567060 | Tag |BB  df! 7E  31                                                           |     | AUTH: at (enc)
   23604112 |   23608880 | Rdr |bb! 50  6C  90!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  33  1A  AB                                                           |  ok | READBLOCK(51)
   23610068 |   23630932 | Tag |E4  F6  50  18! D3  a7! ed! d6! 2D  68  9C  43! 4F  9a! 98! 37! b6! 07   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   23696096 |   23700864 | Rdr |75  7F  54! D9                                                           |     | 
            |            |  *  |30  30  81  99                                                           |  ok | READBLOCK(48)
   23702052 |   23722852 | Tag |27! fb! ec! 2A  33  9e! c8! 86  7b! 33! F9  D8  76  13! 9e! 76! B5  f7!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23786672 |   23791376 | Rdr |97  e4! a8! b9!                                                          |     | 
            |            |  *  |30  31  08  88                                                           |  ok | READBLOCK(49)
   23792628 |   23813428 | Tag |38! 9E  f5! 13  87  5C  10! 0E  37  af! af! df! BC  a5! 8F  9D  52! 40!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23886208 |   23890976 | Rdr |75  63! 69  8e!                                                          |     | 
            |            |  *  |30  32  93  BA                                                           |  ok | READBLOCK(50)
   23892164 |   23912964 | Tag |0E  ED  3C  6c! CD  ef! 00! FD  67! 54  c5! E1  5E  61  51  C7  14  E8   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   23983280 |   23988048 | Rdr |27! 61! C5  65!                                                          |     | 
            |            |  *  |60  34  52  0C                                                           |  ok | AUTH-A(52)
   23990004 |   23994676 | Tag |d9! be! a4! e3!                                                          |     | AUTH: nt (enc)
   24006736 |   24016112 | Rdr |b9! D3  03  21! a1! fe! 98! 19                                           |     | AUTH: nr ar (enc)
   24017300 |   24021972 | Tag |6f! C9  df! 70!                                                          |     | AUTH: at (enc)
   24055520 |   24060224 | Rdr |58! 29  5A  70!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  37  3E  ED                                                           |  ok | READBLOCK(55)
   24061460 |   24082324 | Tag |80! ac! F7  73! E0  6b! 95! 18  03  4A  96  2F  EE  7f! b5! 9d! 40  46   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   24139552 |   24144320 | Rdr |9B  01! FC  f5!                                                          |     | 
            |            |  *  |30  34  A5  DF                                                           |  ok | READBLOCK(52)
   24145492 |   24166356 | Tag |14  5C  36! E1  D0  3D  59  82! 1f! 7a! b2! 09! 1b! E3  2d! 8f! AD  03!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24226864 |   24231632 | Rdr |B4  eb! 9F  65!                                                          |     | 
            |            |  *  |30  35  2C  CE                                                           |  ok | READBLOCK(53)
   24232820 |   24253620 | Tag |8A  95  f0! d7! 83  d1! b7! b9! 62! F2  d9! B6  ed! A1  a1! DC  16  ad!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24302048 |   24306816 | Rdr |35  46  EE  16                                                           |     | 
            |            |  *  |30  36  B7  FC                                                           |  ok | READBLOCK(54)
   24308004 |   24328868 | Tag |1b! 57  41  94  7F  AD  43  05! cf! 51  8b! DF  07! a8! d6! 56  c7! ee!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24399712 |   24404480 | Rdr |40  BD  83! d7!                                                          |     | 
            |            |  *  |60  38  3E  C6                                                           |  ok | AUTH-A(56)
   24406436 |   24411108 | Tag |58! 32  e6! 1f!                                                          |     | AUTH: nt (enc)
   24423104 |   24432416 | Rdr |34! 1d! 6d! 2A  38  8A  14  21                                           |     | AUTH: nr ar (enc)
   24433668 |   24438340 | Tag |D2  d0! ba! 1c!                                                          |     | AUTH: at (enc)
   24483376 |   24488080 | Rdr |7C  A6  B1  32!                                                          |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  3B  52  27                                                           |  ok | READBLOCK(59)
   24489332 |   24510132 | Tag |B0  71! 53  3C  60! 9f! 02! eb! 96! 13  76  C6  2B  11! 1c! 6F  8c! b9!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   24566880 |   24571648 | Rdr |38  05! 81  D5                                                           |     | 
            |            |  *  |30  38  C9  15                                                           |  ok | READBLOCK(56)
   24572820 |   24593620 | Tag |C6  98  5F  DC  5D  dd! b7! 6f! E9  71  12  4e! d3! D6  C7  13  7A  FF   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24657344 |   24662112 | Rdr |F3  4F  e9! 61                                                           |     | 
            |            |  *  |30  39  40  04                                                           |  ok | READBLOCK(57)
   24663284 |   24684084 | Tag |8e! F7  3d! 48  46! 6a! 73! 72  ce! 5a! 3d! 1c! BA  BD  ee! AB  9A  6A   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24731376 |   24736080 | Rdr |B1  8e! 34! 2a!                                                          |     | 
            |            |  *  |30  3A  DB  36                                                           |  ok | READBLOCK(58)
   24737332 |   24758196 | Tag |38! c2! 4E  80! ea! 46  AF  68  61  8f! 3c! 87! 05  04  DB  80! 9d! 90!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   24831952 |   24836720 | Rdr |98! EC  73  5c!                                                          |     | 
            |            |  *  |60  3C  1A  80                                                           |  ok | AUTH-A(60)
   24838676 |   24843348 | Tag |f8! 2F  06  69                                                           |     | AUTH: nt (enc)
   24855408 |   24864720 | Rdr |53  A3  97! D5  55  03  a8! ad!                                          |     | AUTH: nr ar (enc)
   24865972 |   24870708 | Tag |e5! 3A  CF  04                                                           |     | AUTH: at (enc)
   24930368 |   24935136 | Rdr |33! 14! 13  6B                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  3F  76  61                                                           |  ok | READBLOCK(63)
   24936308 |   24957108 | Tag |b8! 7f! FE  9f! 87! B5  32! 3b! 7D  48! 42! B4  27! 16  D4  35! c5! d6!  |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   25016480 |   25021184 | Rdr |1c! D8  4f! 6b!                                                          |     | 
            |            |  *  |30  3C  ED  53                                                           |  ok | READBLOCK(60)
   25022420 |   25043284 | Tag |9C  0a! bf! 1a! 28! 65! 23! A2  0B  6d! fa! C5  52! 4a! 66! 8F  6C  08   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   25119472 |   25124176 | Rdr |10  FA  33! e6!                                                          |     | 
            |            |  *  |30  3D  64  42                                                           |  ok | READBLOCK(61)
   25125428 |   25146228 | Tag |AA  76! DE  ce! 2c! 50! d9! 4c! 16  3B  cd! f4! F0  a0! F7  4F  4A  07!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   25196448 |   25201216 | Rdr |8D  CC  08! cc!                                                          |     | 
            |            |  *  |30  3E  FF  70                                                           |  ok | READBLOCK(62)
   25202404 |   25223204 | Tag |92  E3  AF  A8  ff! 9d! 06! 39! 61  05! 4B  10  cb! 0c! 6D  af! 30! 81   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   25285440 |   25290208 | Rdr |05! 9b! 55  b8!                                                          |     | 
            |            |  *  |50  00  57  CD                                                           |  ok | HALT
   25328480 |   25329472 | Rdr |52(7)                                                                    |     | WUPA
   25330724 |   25333092 | Tag |04  00                                                                   |     | 
   25340496 |   25351024 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25352212 |   25355732 | Tag |08  B6  DD                                                               |  ok | 
   25405936 |   25410704 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25451920 |   25452912 | Rdr |52(7)                                                                    |     | WUPA
   25454148 |   25456516 | Tag |04  00                                                                   |     | 
   25463936 |   25474464 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   25475636 |   25479156 | Tag |08  B6  DD                                                               |  ok | 
   25567088 |   25571856 | Rdr |50  00  57  CD                                                           |  ok | HALT
   25613136 |   25614128 | Rdr |52(7)                                                                    |     | WUPA
   25615380 |   25617748 | Tag |04  00                                                                   |     | 
